stop.id,stop.name,stop.lat,stop.lon
905,Gran Via-Roger de Flor,41.396101,2.177304
2393,Mare de Déu de la Salut-Hospital de l'Esperança,41.410346,2.154882
1240,Pg. Zona Franca-Cisell,41.354767,2.143169
399,Santa Rosalia-Sant Dalmir,41.423238,2.148815
1023,La Rambla-Santa Mònica,41.377785,2.175823
1025,Paral·lel-Drassanes,41.374741,2.175031
1362,Pi i Margall-Secretari Coloma,41.409576,2.163956
1768,Camèlies-Secretari Coloma,41.411206,2.159536
1736,Providència-Pi i Margall,41.410366,2.163590
1317,Via Augusta-Pau Alcover,41.398431,2.125934
2462,Camèlies-Ca L'alegre de Dalt,41.410763,2.158688
437,Parlament-Comte Borrell,41.377129,2.163558
1765,Escorial-Pl Joanic,41.406114,2.162517
1501,Pg Lloreç Serra-Sant Joaquim,41.450453,2.205721
946,Dublín-Meridiana,41.428613,2.185140
1318,Pg Bonanova,41.399943,2.124038
547,Av Meridiana-Riera de Sant Andreu,41.435495,2.184425
548,Bartrina-Pont del Dragó,41.439525,2.186133
858,Pl de Mossèn Clapés,41.441726,2.187520
541,Onze de Setembre-Virgili,41.430162,2.193125
248,Pg Maragall-Segle XX,41.422798,2.178417
235,Les Agudes 27,41.463640,2.178338
236,Les Agudes-Fusters,41.463850,2.175157
224,Les Agudes,41.462551,2.173653
178,Torrent del Bosc,41.462200,2.174039
947,Rovira i Virgili-Parc de la Pegaso,41.427935,2.189161
1996,Balmes-Mitre,41.404843,2.140169
1997,Balmes-Joaquim Folguera,41.406784,2.138735
1998,Balmes-Pl. John F. Kennedy,41.409453,2.137364
697,Av Tibidabo-Josep Maria Florensa,41.412905,2.134954
1829,Josep Tarradellas-Av de Sarrià,41.390958,2.144053
2490,Pl Bonanova,41.406603,2.133762
2183,Riera Blanca-Travessera de les Corts,41.376050,2.121489
2566,Badal-Sants,41.375223,2.130779
2562,Rambla del Brasil-Violant d'Hongria,41.378894,2.128986
1639,Metro Pl. de Sants,41.375417,2.137602
1638,Sants-Premià,41.375385,2.139312
712,Villarroel-Sepúlveda,41.381507,2.161561
1283,Paral·lel-Tamarit,41.374889,2.155468
1378,Lleida-Tamarit,41.373734,2.154797
1367,Lleida-Av Paral·lel,41.374271,2.154330
729,Floridablanca-Viladomat,41.378171,2.158158
840,Calàbria-Av Mistral,41.377237,2.158372
